error_cold_stop_x_um,error_cold_stop_y_um,error_edge_angle_deg,error_edge_offset_mm,fit_cost,fit_success,fitted_cold_stop_x_um,fitted_cold_stop_y_um,fitted_edge_angle_deg,fitted_edge_offset_mm,noise_std_counts,perturb_mask_depth_delta_um,perturb_mask_diameter_delta_um,perturb_noise_fraction,perturb_passband_center_delta_nm,perturb_passband_width_fraction,perturb_temperature_delta_K,repeat,scenario,true_cold_stop_x_um,true_cold_stop_y_um,true_edge_angle_deg,true_edge_offset_mm
1.7010443836478188,1.0441932471428643,0.018109087605081564,-0.00011896842551650799,5136.909225574858,True,51.70104438364782,-43.955806752857136,1.7181090876050815,-0.9201189684255165,0.0,,,,,,,0,baseline,50.0,-45.0,1.7,-0.92
2.122448715992469,1.7089945626262733,0.02545673724328923,0.0004126182647268273,316592.93578067963,True,52.12244871599247,-43.29100543737373,1.7254567372432892,-0.9195873817352732,5.6311462788740325,,,0.002,,,,0,noise_0.2pct,50.0,-45.0,1.7,-0.92
1.29155676870662,0.08040982715933609,0.0460132161078286,-7.861664600061768e-05,339720.43355561624,True,51.29155676870662,-44.919590172840664,1.7460132161078286,-0.9200786166460007,5.6311462788740325,,,0.002,,,,1,noise_0.2pct,50.0,-45.0,1.7,-0.92
2.135940449649368,2.839185025051002,0.00940696433621313,-0.00017577020990167114,325109.8130786516,True,52.13594044964937,-42.160814974949,1.709406964336213,-0.9201757702099017,5.6311462788740325,,,0.002,,,,2,noise_0.2pct,50.0,-45.0,1.7,-0.92
-4.142575696524197,-6.092006032336343,0.06507387408379417,-4.0203753191692115e-05,3757245.5316985,True,45.8574243034758,-51.09200603233634,1.7650738740837941,-0.9200402037531917,28.155731394370164,,,0.01,,,,0,noise_1pct,50.0,-45.0,1.7,-0.92
-11.827070807413044,-5.112000735988481,-0.0009718202432509315,-0.00228617900275474,2991625.1382341767,True,38.172929192586956,-50.11200073598848,1.699028179756749,-0.9222861790027548,28.155731394370164,,,0.01,,,,1,noise_1pct,50.0,-45.0,1.7,-0.92
-8.005007959431907,-4.967497706222751,0.045345161274777945,0.00010972583174206907,2970071.4025447764,True,41.99499204056809,-49.96749770622275,1.745345161274778,-0.919890274168258,28.155731394370164,,,0.01,,,,2,noise_1pct,50.0,-45.0,1.7,-0.92
1.7010443836478188,1.0441932471428643,0.018109087605081564,-0.00011896842551650799,5136.909225574858,True,51.70104438364782,-43.955806752857136,1.7181090876050815,-0.9201189684255165,0.0,,-1.0,,,,,0,mask_diam_-1um,50.0,-45.0,1.7,-0.92
1.7010443836478188,1.0441932471428643,0.018109087605081564,-0.00011896842551650799,5136.909225574858,True,51.70104438364782,-43.955806752857136,1.7181090876050815,-0.9201189684255165,0.0,,1.0,,,,,0,mask_diam_+1um,50.0,-45.0,1.7,-0.92
5.878146643701307,5.176924286056476,0.02640320032122556,-0.0018584199357779552,5669928.024788097,True,55.87814664370131,-39.823075713943524,1.7264032003212255,-0.921858419935778,0.0,-0.02,,,,,,0,mask_depth_-0.02um,50.0,-45.0,1.7,-0.92
-0.3441340611319319,-2.6512034184981275,0.05876558144726918,0.0019208213912542682,6562044.084980154,True,49.65586593886807,-47.65120341849813,1.7587655814472691,-0.9180791786087458,0.0,0.02,,,,,,0,mask_depth_+0.02um,50.0,-45.0,1.7,-0.92
2.207498747941287,2.6084717106487005,0.06327595959812138,0.000783623885909468,64570.36720336973,True,52.20749874794129,-42.3915282893513,1.7632759595981213,-0.9192163761140906,0.0,,,,,,-300.0,0,temperature_-300K,50.0,-45.0,1.7,-0.92
2.3681595166951723,0.6480633082560203,0.009949612348151504,-0.0004881064357251663,40875.67500702102,True,52.36815951669517,-44.35193669174398,1.7099496123481515,-0.9204881064357252,0.0,,,,,,300.0,0,temperature_+300K,50.0,-45.0,1.7,-0.92
5.931942427804437,0.42885188694693,0.034311137217901466,-0.0026095711646118014,416389.4411209293,True,55.93194242780444,-44.57114811305307,1.7343111372179014,-0.9226095711646118,0.0,,,,-10.0,,,0,band_center_-10nm,50.0,-45.0,1.7,-0.92
-1.9481380223266882,2.5598716713479064,0.052382638254349745,0.0028021108674791684,420591.5608036578,True,48.05186197767331,-42.440128328652094,1.7523826382543497,-0.9171978891325209,0.0,,,,10.0,,,0,band_center_+10nm,50.0,-45.0,1.7,-0.92
-0.8944481156196815,4.524394213628931,0.021042145897560705,0.0003397427916039808,64728.46227647098,True,49.10555188438032,-40.47560578637107,1.7210421458975607,-0.9196602572083961,0.0,,,,,-0.05,,0,bandwidth_-5pct,50.0,-45.0,1.7,-0.92
4.660086697825911,-1.3633208882607448,0.05344412141463306,-1.758214649671963e-05,77088.38647674424,True,54.66008669782591,-46.363320888260745,1.753444121414633,-0.9200175821464968,0.0,,,,,0.05,,0,bandwidth_+5pct,50.0,-45.0,1.7,-0.92
